"month","cost","price","marketing.budget","catalog.pages","competitor.strength","demand","revenue","total.cost","profit"
1,5.3,9.4,16000,1,1,30238,284237,176261.4,107976
2,5.3,9.6,19000,0.5,2,30543,293094,180877.9,112216
3,5.3,9.5,15000,0.25,2,27920,266495,162976,103519
4,5.3,9.5,17000,0.25,1,31169,296279,182195.7,114084
5,5.3,9.3,16000,1,1,31525,291922,183082.5,108840
6,5.3,9.4,15000,0.25,2,30270,285151,175431,109720
7,5.3,9.7,16000,0.5,1,30802,300160,179250.6,120909
8,5.3,10.2,16000,1,0,30659,311372,178492.7,132879
9,5.3,10.4,17000,0.25,0,29712,307542,174473.6,133068
10,5.3,10.1,18000,0.25,0,30762,311989,181038.6,130951
11,5.3,9.7,15000,1,1,30396,295847,176098.8,119748
12,5.3,9.7,15000,0.5,1,30852,298519,178515.6,120004
13,5.3,9.4,17000,0.25,1,31752,299510,185285.6,114225
14,5.3,9.5,17000,0.25,0,32194,305132,187628.2,117504
15,5.3,9.5,19000,0.5,1,31066,296485,183649.8,112835
16,5.3,9.5,16000,0.5,1,30333,289232,176764.9,112467
17,5.3,9.6,17000,2,0,32201,307816,187665.3,120151
18,5.3,9.4,16000,0.5,0,31267,293263,181715.1,111548
19,5.3,9.5,20000,0.5,0,29595,282001,176853.5,105147
20,5.3,9.3,18000,0.25,0,31923,297297,187191.9,110105
21,5.3,9.4,17000,0.25,0,32011,299549,186658.3,112891
22,5.3,9.8,18000,0.25,1,31248,306208,183614.4,122593
23,5.3,9.8,15000,2,2,32308,316417,186232.4,130185
24,5.3,9.5,15000,0.25,2,30722,293372,177826.6,115545
25,5.3,9.7,14000,0.25,2,29788,290272,171876.4,118395
26,5.3,9.6,17000,1,2,31603,301967,184495.9,117471
27,5.3,9.4,16000,0.25,1,30777,290284,179118.1,111166
28,5.3,8.9,17000,0.25,1,32007,284883,186637.1,98246
29,5.3,8.9,15000,2,0,34311,305417,196848.3,108568
30,5.3,9.1,17000,0.5,0,32788,299673,190776.4,108897
31,5.3,8.9,17000,0.5,0,32565,290168,189594.5,100574
32,5.3,9.1,12000,0.25,0,32416,295882,183804.8,112077
33,5.3,9,16000,0.25,0,31083,279720,180739.9,98980
34,5.3,8.9,16000,0.5,0,32340,289065,187402,101663
35,5.3,9.7,17000,0.25,0,31570,305881,184321,121560
36,5.3,10,18000,2,0,33922,339135,197786.6,141349
