"month","cost","price","marketing.budget","catalog.pages","competitor.strength","demand","revenue","total.cost","profit"
1,5.1,8.9,20000,1,8,38961,346753,218701.1,128052
2,5.1,8.6,21000,0.25,8,37974,327224,214667.4,112557
3,5.1,8,20000,0.25,9,38199,306004,214814.9,91189
4,5.1,8,22000,0.25,9,38660,309457,219166,90291
5,5.1,7.9,19000,1,9,39523,310828,220567.3,90261
6,5.1,7.8,19000,0.5,9,38679,302135,216262.9,85872
7,5.1,8,21000,2,9,38419,309124,216936.9,92187
8,5.1,7.9,18000,0.25,10,37868,298087,211126.8,86960
9,5.1,7.7,16000,1,10,39459,302877,217240.9,85636
10,5.1,7.8,24000,0.25,10,38116,295909,218391.6,77518
11,5.1,7.9,17000,0.25,10,39083,307837,216323.3,91513
12,5.1,7.7,20000,0.25,10,40840,314908,228284,86624
13,5.1,7.7,22000,1,10,38756,297763,219655.6,78107
14,5.1,7.7,18000,0.25,10,38214,295628,212891.4,82737
15,5.1,7.5,21000,0.25,10,40249,302645,226269.9,76375
16,5.1,7.6,21000,0.5,10,38919,294391,219486.9,74904
17,5.1,7.5,21000,0.25,10,38362,287143,216646.2,70497
18,5.1,7.7,23000,0.25,10,40180,308023,227918,80105
19,5.1,7.2,22000,1,8,42285,304215,237653.5,66561
20,5.1,7.2,21000,0.5,8,40568,292575,227896.8,64678
21,5.1,7,22000,0.25,7,42738,297338,239963.8,57374
22,5.1,7,17000,0.5,6,42063,293579,231521.3,62058
23,5.1,7.1,22000,0.25,7,40679,288927,229462.9,59464
24,5.1,7.2,22000,0.5,6,43080,310943,241708,69235
25,5.1,7.3,19000,0.5,7,40031,293511,223158.1,70353
26,5.1,7.4,20000,0.25,7,40700,299303,227570,71733
27,5.1,7.2,21000,0.25,7,41156,294635,230895.6,63740
28,5.1,7.1,21000,0.5,7,41891,297881,234644.1,63237
29,5.1,7.1,20000,0.25,9,41115,293737,229686.5,64051
30,5.1,7.2,19000,0.25,9,41618,300237,231251.8,68985
31,5.1,7.1,18000,0.25,10,40403,287058,224055.3,63003
32,5.1,7.2,17000,0.25,8,39843,285192,220199.3,64992
33,5.1,7,19000,0.25,8,40017,282011,223086.7,58925
34,5.1,7,21000,0.25,8,39845,279403,224209.5,55194
35,5.1,7.2,19000,2,9,41328,295677,229772.8,65904
36,5.1,7.1,20000,1,10,39915,284557,223566.5,60991
