"month","cost","price","marketing.budget","catalog.pages","competitor.strength","demand","revenue","total.cost","profit"
1,4.7,8.2,13000,0.5,10,21970,180154,116259,63895
2,4.7,8.5,13000,0.25,10,23384,199749,122904.8,76844
3,4.7,9.2,13000,0.25,10,20689,189309,110238.3,79071
4,4.7,9.3,8000,0.25,10,19040,176401,97488,78913
5,4.7,9.6,7000,0.25,9,19010,181783,96347,85436
6,4.7,9.3,17000,0.5,9,20303,188562,112424.1,76138
7,4.7,9.1,12000,1,9,24718,225975,128174.6,97801
8,4.7,10.6,13000,0.5,9,19888,210576,106473.6,104103
9,4.7,11.5,13000,0.25,10,17131,196402,93515.7,102887
10,4.7,10.8,12000,2,10,21085,227087,111099.5,115987
11,4.7,10.2,14000,0.25,9,20998,214060,112690.6,101370
12,4.7,9.7,10000,0.25,9,21768,211870,112309.6,99560
13,4.7,9.9,12000,0.5,9,21846,217275,114676.2,102599
14,4.7,10.3,14000,1,9,22361,230579,119096.7,111482
15,4.7,9.6,15000,0.25,8,21795,209111,117436.5,91674
16,4.7,10.3,13000,1,10,20833,213590,110915.1,102674
17,4.7,9.8,15000,0.25,10,20080,197007,109376,87631
18,4.7,9.3,11000,0.25,10,21401,199781,111584.7,88197
19,4.7,9,9000,0.25,10,19923,180071,102638.1,77433
20,4.7,9,11000,0.25,10,22591,204432,117177.7,87255
21,4.7,9.3,11000,0.25,10,20027,186357,105126.9,81230
22,4.7,9.5,13000,0.25,10,20307,192641,108442.9,84198
23,4.7,9.7,14000,1,10,22009,214239,117442.3,96797
24,4.7,10.7,13000,2,10,20733,222110,110445.1,111664
25,4.7,11.5,12000,1,10,16942,195671,91627.4,104043
26,4.7,10.8,14000,0.5,10,19757,214029,106857.9,107171
27,4.7,10.2,12000,0.5,9,22487,230011,117688.9,112322
28,4.7,10.4,15000,0.25,8,21201,219683,114644.7,105039
29,4.7,11.1,12000,0.5,7,20738,230309,109468.6,120841
30,4.7,11.4,13000,0.25,6,19698,224252,105580.6,118671
31,4.7,11.9,16000,1,6,19596,233894,108101.2,125793
32,4.7,12.8,13000,2,6,19416,247622,104255.2,143366
33,4.7,12.9,13000,0.25,5,18839,243659,101543.3,142116
34,4.7,13.3,11000,2,6,17339,230814,92493.3,138321
35,4.7,13.5,12000,1,6,16487,223148,89488.9,133659
36,4.7,14,14000,1,6,15825,221415,88377.5,133037
